,Algorithm,Feature_Set,Accuracy,Precision,Recall,F1_Score,Best_Params,Features_Used,time
36,RandomForest,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7639,0.7497,0.7639,0.7497,"{'n_estimators': 135, 'max_depth': 21, 'min_samples_split': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",30
38,KNN,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7541,0.7439,0.7541,0.7459,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",30
30,XGBoost,Seq: Raw Accel + ODBA + VeDBA,0.7432,0.7164,0.7432,0.7227,"{'n_estimators': 136, 'max_depth': 10, 'learning_rate': 0.09143583036380712, 'subsample': 0.947484662271612, 'colsample_bytree': 0.8720660605345469}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",30
25,XGBoost,Seq: Raw Accel + ODBA,0.7462,0.7188,0.7462,0.7176,"{'n_estimators': 80, 'max_depth': 8, 'learning_rate': 0.06261369184051317, 'subsample': 0.59805210385548, 'colsample_bytree': 0.7898572824966892}","['x_g', 'y_g', 'z_g', 'odba']",30
31,RandomForest,Seq: Raw Accel + ODBA + VeDBA,0.7452,0.7186,0.7452,0.7165,"{'n_estimators': 104, 'max_depth': 12, 'min_samples_split': 5}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",30
26,RandomForest,Seq: Raw Accel + ODBA,0.7447,0.7138,0.7447,0.7162,"{'n_estimators': 295, 'max_depth': 11, 'min_samples_split': 3}","['x_g', 'y_g', 'z_g', 'odba']",30
28,KNN,Seq: Raw Accel + ODBA,0.7373,0.7075,0.7373,0.7111,"{'n_neighbors': 18, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g', 'odba']",30
21,RandomForest,Seq: Raw Accel,0.7295,0.696,0.7295,0.7073,"{'n_estimators': 194, 'max_depth': 16, 'min_samples_split': 2}","['x_g', 'y_g', 'z_g']",30
1,RandomForest,Indiv: Raw Accel,0.728,0.6985,0.728,0.7071,"{'n_estimators': 169, 'max_depth': 23, 'min_samples_split': 5}","['x_g', 'y_g', 'z_g']",30
23,KNN,Seq: Raw Accel,0.7304,0.6985,0.7304,0.7065,"{'n_neighbors': 17, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g']",30
